date, package, version, count 
2022-12-05, @itwin/itwinui-react, 1.29.3, 1 
2022-12-05, @itwin/itwinui-react, 1.15.0, 1 
2022-12-05, @itwin/itwinui-react, 1.28.0, 1 
2023-01-31, @itwin/itwinui-react, 1.47.1, 2 
2023-01-31, @itwin/itwinui-react, 1.27.0, 2 
2023-01-31, @itwin/itwinui-react, 1.38.1, 4 
2023-01-31, @itwin/itwinui-react, 1.22.0, 3 
2023-01-31, @itwin/itwinui-react, 1.10.0, 2 
2023-01-31, @itwin/itwinui-react, 1.45.0, 11 
2023-01-31, @itwin/itwinui-react, 1.14.1, 1 
2023-01-31, @itwin/itwinui-react, 2.2.1, 1 
2023-01-31, @itwin/itwinui-react, 1.39.0, 6 
2023-01-31, @itwin/itwinui-react, 1.34.2, 1 
2023-01-31, @itwin/itwinui-react, 1.1.0, 1 
2023-01-31, @itwin/itwinui-react, 1.30.0, 4 
2023-01-31, @itwin/itwinui-react, 1.37.3, 4 
2023-01-31, @itwin/itwinui-react, 1.25.0, 3 
2023-01-31, @itwin/itwinui-react, 1.42.0, 11 
2023-01-31, @itwin/itwinui-react, 1.48.1, 17 
2023-01-31, @itwin/itwinui-react, 1.16.2, 2 
2023-01-31, @itwin/itwinui-react, 1.41.0, 3 
2023-01-31, @itwin/itwinui-react, 1.37.1, 2 
2023-01-31, @itwin/itwinui-react, 1.40.1, 5 
2023-01-31, @itwin/itwinui-react, 1.47.0, 2 
2023-01-31, @itwin/itwinui-react, 1.7.2, 2 
2023-01-31, @itwin/itwinui-react, 1.43.1, 2 
2023-01-31, @itwin/itwinui-react, 1.35.0, 5 
2023-01-31, @itwin/itwinui-react, 1.12.0, 3 
2023-01-31, @itwin/itwinui-react, 1.31.0, 1 
2023-01-31, @itwin/itwinui-react, 1.48.0, 2 
2023-01-31, @itwin/itwinui-react, 1.11.0, 4 
2023-01-31, @itwin/itwinui-react, 1.18.0, 1 
2023-01-31, @itwin/itwinui-react, 2.0.0, 2 
2023-01-31, @itwin/itwinui-react, 1.37.0, 1 
2023-01-31, @itwin/itwinui-react, 2.2.0, 1 
2023-01-31, @itwin/itwinui-react, 2.0.2, 1 
2023-01-31, @itwin/itwinui-react, 1.36.0, 3 
2023-01-31, @itwin/itwinui-react, 1.5.0, 1 
2023-01-31, @itwin/itwinui-react, 1.46.0, 1 
2023-01-31, @itwin/itwinui-react, 1.24.0, 1 
2023-01-31, @itwin/itwinui-react, 1.34.0, 1 
2023-01-31, @itwin/itwinui-react, 1.7.1, 1 
2023-01-31, @itwin/itwinui-react, 1.23.2, 1 
2023-01-31, @itwin/itwinui-react, 1.20.0, 1 
2023-01-31, @itwin/itwinui-react, 1.26.1, 1 
2023-01-31, @itwin/itwinui-react, 1.23.0, 1 
2023-01-31, @itwin/itwinui-react, 1.29.3, 1 
2023-01-31, @itwin/itwinui-react, 1.15.0, 1 
2023-01-31, @itwin/itwinui-react, 1.28.0, 1 
2023-01-31, @itwin/itwinui-react, 1.43.0, 1 
2023-03-06, @itwin/itwinui-react, 1.27.0, 1 
2023-03-06, @itwin/itwinui-react, 1.38.1, 4 
2023-03-06, @itwin/itwinui-react, 1.22.0, 3 
2023-03-06, @itwin/itwinui-react, 1.40.1, 7 
2023-03-06, @itwin/itwinui-react, 1.45.0, 11 
2023-03-06, @itwin/itwinui-react, 1.14.1, 1 
